P00027739T0000|0 28|Serum gamma glutamyltransferase
P09032259A0972|98 101|Rac1
P08652081A1953|98 101|IL-1
P09317131A1332|98 101|IL-4
P07607537A0954|98 101|VP16
P08626493A1468|98 100|pRb
P08621664A1430|98 100|PKN
P10545248A0567|98 100|Tin
P08626437A0332|98 100|GST
P10861086A0259|98 100|Csk
P10811804A0000|99 133|extracellular signal-regulated kinase
P10392266A0111|99 122|monoclonal immunoglobulin
P07520098A0211|99 122|class I Kb-encoded sequence
P09639074A0707|99 120|NF-kappaB-proximal site
P08132574A0831|99 118|cytochrome CYP1A1 gene
P08882710A0000|99 114|interferon-alpha
P08510647A1347|99 113|barley globulins
P08051059A1000|99 111|RhlR regulator
P08449978A0000|99 111|protein kinase
P08970951A0823|99 109|Pol proteins
P02145195A0253|99 108|Sm proteins
P08576179A0126|99 108|cIF-2 alpha
P08740416A0239|99 108|C-terminus
P09950213A1660|99 106|TGF-beta
P08083963A0795|99 104|DNase I
P08264628A0418|99 104|TFIIIB
P09053494A0612|99 103|G-CSF
P08506384A0146|99 103|eIF-2
P07494306A0240|99 102|VP16
P11196191A1789|99 102|MAPK
P09719636A1134|99 102|H411
P10714985A1057|99 102|TRAP
P11179664T0000|99 102|AML1
P08630548A0000|99 102|IL-1
P03133250A0000|99 101|hMG
P09030781A0734|99 101|p35
P09553040A0651|99 101|Ras
P08563483A0094|99 101|hCG
P09765394A1590|99 101|Zta
P07841663A0845|99 101|SOD
P08835969A0000|99 100|EP
P09178752A0574|99 100|ER
P07541912A0485|99 100|P2
P08618433A0000|99 99|R
P11384225A0634|100 144|EAV-specific transcription-regulating sequences
P02536096A0327|100 135|chloramphenicol acetyltransferase gene
P08524260A0835|100 132|epidermal growth factor-like repeats
P07896846T0000|100 129|human beta-myosin heavy chain gene
P10536125A0093|100 127|influenzavirus neuraminidases
P11409425A0000|100 125|tissue plasminogen activator
P11139567A1440|100 124|G protein beta gamma subunits
P07636179A0000|100 122|cyclin-dependent kinases
P02844767A0191|100 121|apocytochrome f proteins
P02603923A0220|100 120|epidermal growth factor
P09698457A0976|100 115|wild-type protein
P09268387A0293|100 114|RNA polymerase II
P03001110A0546|100 113|tyrosine kinase
P09461594A0000|100 113|tyrosine kinase
P11059777A0813|100 113|PAX3 repressors
P11305129T0000|100 113|immune globulin
P07498791A0680|100 112|protein kinase
P03802195A0481|100 110|ToxR protein
P08717391A0466|100 109|C-terminus
P10779508A0452|100 108|ERRalpha1
P11469853A1053|100 107|C1 domain
P01714902A0221|100 106|CD3 zeta
P09144195A1051|100 105|PS1 CTF
P09388200A0639|100 104|c-fos
P09671496A0557|100 104|c-Cbl
P11145743A0170|100 104|TTF-1
P10733581A1391|100 104|TTF-1
P07957106A0875|100 103|VP16
P09735366A1180|100 103|EPL1
P11238405A0817|100 103|lacZ
P11059786A0682|100 103|EGFR
P11038366A1417|100 103|PP2A
P10446998A0375|100 103|junB
P08636031A1413|100 102|Fur
P10681520A0525|100 102|Rac
P09169420A0000|100 102|SH2
P07729427A0942|100 102|TBP
P09514272A0482|100 102|P16
P09234720A1015|100 102|H19
P08922390A2076|100 102|FAK
P11251083T0000|100 102|MEK
P11325944A0511|100 102|GST
P08151790A0354|100 102|Sp1
P07518257A0351|100 101|P2
P11257870A0000|100 101|TF
P09835615A0574|100 101|R2
P09372968A0532|101 133|outer-arm dynein light-chain protein
P09360422A0135|101 119|betathromboglobulin
P10066790A0497|101 119|multisubunit complex
P10778740A1493|101 117|pho85 coding region
P10556033A0000|101 117|DNA-binding domain
P10799863T0000|101 116|MHC class I antigen
P09027506T0000|101 115|mammalian eIF-4G
P07490079A0825|101 114|murine STEP gene
P07708058A0178|101 114|c-jun homodimer
P02423850A0292|101 113|yeast CYC1 gene
P02839716A0673|101 112|SV40 promoter
P11408604A1440|101 112|PDGF receptor
P09389982A1383|101 111|prothrombin
P08902214A1486|101 111|Stat factors
P02559630A0270|101 110|fibrinogen
P10862289A0289|101 110|A60 antigen
P02247081A0223|101 109|VPS34 gene
P11418662A0917|101 109|NF-kappaB
P07500953A0305|101 108|ADR1 gene
P10531360A0958|101 108|VEGF mRNA
P09402139A1121|101 107|insulin
P08900190A0430|101 105|c-Jun
P08604338A0885|101 105|FLI-1
P10347197A0502|101 104|Grb2
P09873060A0901|101 104|JunD
P10366503A0812|101 104|gp17
P09421521T0000|101 104|YDC2
P10880486A0790|101 104|RhoA
P07494293A0585|101 103|Lck
P09065690A0463|101 103|URS
P07799948A0777|101 103|Ras
P02637597A0362|101 103|IgG
P06287212A1352|101 103|VP1
P08647086A0720|101 103|p53
P10501936T0000|101 103|RIP
P09430661A0796|101 103|JNK
P09254678A0106|101 103|MBP
P09506962A1000|101 103|YY1
P10623804A0808|101 103|SH2
P11314030A1264|101 103|FAK
P08973630A0923|101 103|Rac
P00377466A0188|101 102|E2
P07534297A0141|102 133|chloramphenicol acetyltransferase
P01464606A0344|102 132|fibronectin cell-binding fragment
P07759525A0417|102 122|casein kinase I isoforms
P10231454A0731|102 120|alkaline phosphatase
P07636187A0585|102 118|wild-type promoter
P02674671A0601|102 116|wild-type allele
P03544858A0374|102 116|HDL-cholesterol
P08649841A0956|102 116|CAT reporter gene
P11139469A0402|102 115|protein kinase C
P09089653A0615|102 111|luciferase
P09502720T0000|102 110|CyIIa gene
P10781604A0827|102 108|Rsp5 WW2
P09218520A0075|102 106|IL-1R
P09032267A0850|102 106|NF-E2
P09263010T0000|102 106|bcl-2
P09442080A0856|102 106|SHP-1
P07823919A1422|102 106|ARP-1
P10713176A0885|102 105|cdk4
P01717833A1223|102 105|CREB
P08771781A1103|102 105|PMSR
P03915540A0863|102 105|gcn3
P11553704A0674|102 105|MAPK
P10488147A1176|102 105|CCR3
P10744749T0000|102 105|MyoD
P11158288T0000|102 105|CREB
P08649389A0692|102 105|CTCF
P10439040A0658|102 104|CAT
P09488441A0615|102 104|p50
P07624581A0312|102 104|PRL
P07592723A0814|102 104|PKC
P08408194T0000|102 104|Na+
P11053370A0708|102 104|GST
P07876192A0443|102 104|ICE
P09309457A0680|102 104|FSH
P09099745A1446|102 104|p27
P07648338A0815|102 104|TNF
P09927585A0796|102 104|KCS
P10496284A0115|102 104|IgG
P09453537A0863|102 104|SP1
P07514295A0000|102 104|TCR
P08838144A0107|102 103|S1
P08336012A0632|102 103|FN
P08111035A0098|103 120|beta-glucuronidase
P02967915A0000|103 116|calbindin-D28K
P03050147A0896|103 116|C-specific mRNA
P08281740A0000|103 115|IgG antibodies
P07504171A0715|103 114|Src SH2 domain
P11331604A0267|103 114|srb10 mutants
P10084294A0219|103 113|transferrin
P08058326A0463|103 112|murine gene
P06986168A0304|103 112|V8 protease
P02585492A1005|103 112|P1 proteins
P08621542A0535|103 111|TNF-alpha
P09575187A1558|103 111|sAPPalpha
P03570455A0433|103 108|TSST-1
P09162092A0675|103 107|MEKK2
P08618882A0343|103 107|BZLF1
P09920930A0521|103 107|c-Fos
P09651383A0967|103 107|HNF-4
P10446998A0955|103 107|c-fos
P08182041A1067|103 106|CREB
P11063127A0000|103 106|PP2A
P09495283A0000|103 106|HSF2
P10498706A1219|103 106|KdgR
P11000250A0200|103 106|STAT
P10586115A0477|103 106|IL-6
P03360948A0477|103 105|CAP
P09811695A1146|103 105|p15
P10331875A0523|103 105|HSF
P09212063A0425|103 105|VDR
P08392623A1374|103 105|IE2
P10817754T0000|103 105|H19
P09710582A0535|103 105|MEK
P09341193A0362|103 105|Tax
P07588245T0000|103 104|TR
P08173532A0000|103 104|S2
P11108151A0560|103 103|R
P02118519A0516|104 128|nerve growth factor receptor
P07916689A1407|104 123|Y. lipolytica LEU2 gene
P07590268A0350|104 121|mammalian MAPKAPK-2
P01360294A0000|104 118|antithrombin III
P01325221A0870|104 115|p41 MAP kinase
P09288916T0000|104 115|beta subunits
P02880841A0313|104 114|beta subunit
P08163183T0000|104 114|XylA enzymes
P10022880A0000|104 114|Ras proteins
P11568988A0960|104 113|Pa elastase
P10488148A1267|104 112|NF-kappaB
P09792702A0754|104 112|HSP70 gene
P07473169A0133|104 111|catalase
P08291233A0000|104 111|U3 region
P07597030A0260|104 111|hTAFII32
P01512259A0867|104 110|Dfurin2
P09553040A0651|104 108|Stats
P10364425A0610|104 108|STAT3
P09846482A0441|104 108|actin
P08642285A1548|104 108|STAT1
P09713996T0000|104 107|MDR1
P10207049A1001|104 107|CUP1
P10805737T0000|104 107|eIF2
P01313909A0526|104 107|ICP0
P10488148T0000|104 107|AP-1
P09872832A1262|104 107|IL-6
P10611242A0541|104 107|Spt8
P09819422A0768|104 107|Cns1
P11196191A1789|104 107|PI3K
P09135149A0000|104 107|Wee1
P01824944A0988|104 106|IgE
P02298741A0809|104 106|PKC
P10878398A0542|104 106|Epo
P10198061A0339|104 106|Ran
P09427627A0930|104 106|p70
P11152283A0223|104 106|NGF
P11297545A0948|104 106|hGH
P11251083T0000|104 106|ERK
P09353247A0922|104 106|CDK
P02906249A1195|104 105|Hb
P02556269A0187|105 134|single-strand-specific nuclease
P08209423T0000|105 125|viral glycoprotein gene
P04014861A0000|105 123|superoxide dismutase
P10080901A0271|105 122|ribosomal protein L9
P11038118A0000|105 122|bovine serum albumin
P01545523A0000|105 121|antistreptolysin O
P01460054A0478|105 120|DNA binding domain
P11502738A1457|105 120|cyclin D1 promoter
P01735447A0271|105 116|sec61 mutants
P08253777A0301|105 113|Kv1.5 gene
P03001084A0406|105 112|psi alpha
P05170106T0034|105 111|trypsin
P10721714A1087|105 111|Sp1 site
P11114718A0349|105 111|cyclin E
P08514766A0732|105 111|p21 rac1
P11469701A0377|105 111|insulin
P07528772A1539|105 110|ZAP-70
P02778873A0761|105 109|DR-A2
P09931435A0357|105 109|ZIS-1
P11395469A1373|105 108|sid2
P07563090A0624|105 108|PPT2
P10602507A0652|105 108|cdk4
P09584180A0701|105 108|IL-4
P10066798A0391|105 108|pp60
P01840607A0294|105 107|PFP
P11408575A0000|105 107|Clb
P11358958A0878|105 107|E1A
P11059786A0682|105 107|Ras
P10426450A1458|105 107|ILK
P09354644A0124|105 107|Gal
P07929431A0949|105 107|CAT
P10526670A1828|105 107|PKB
P10652228A0759|105 107|Dbl
P07651398A0257|105 107|DER
P11278440A0095|105 106|S1
P09626662A1076|105 106|TR
P10369926A0251|106 131|mammalian CXC chemokine genes
P09524267A1023|106 122|DNA-binding domain
P07678006A0472|106 119|CaM PDE isoforms
P01694525A0000|106 115|N-terminus
P11416144A1324|106 115|p53 protein
P09047344A0000|106 115|calmodulin
P10505694A0000|106 114|IFN-gamma
P09148929A0372|106 114|Ctpct gene
P00668122A0414|106 113|ferritin
P08979089A1197|106 112|Sp1 site
P11155096A0222|106 112|TPO-Abs
P11157784A0141|106 111|DGCR6L
P01939199A0588|106 110|TFIID
P07916326A0000|106 110|Msx-1
P10446998A0375|106 110|c-fos
P02576405A0223|106 110|VP-16
P08454591A1322|106 109|AP-1
P10793143A1533|106 109|Cdc6
P11310937A0548|106 109|IL-6
P08683108A1501|106 109|junB
P11258906A0743|106 109|RecA
P08794339A1162|106 109|p300
P02542612A0530|106 108|CAT
P11312120A1311|106 108|Ras
P10749145T0000|106 108|Ras
P09729481A1177|106 108|Sp1
P07951410A1332|106 108|E1A
P11007954A0170|106 108|Ras
P11145955A0189|106 108|SRE
P10860846A0480|106 108|AP2
P10406464A0687|106 107|TR
P09829836A0000|107 129|cyclin- dependent kinases
P10447593A0144|107 127|bacterial sigma factors
P09099702A0692|107 125|mouse protamine 2 gene
P01321337A1161|107 118|alpha-factor
P10098601A1320|107 118|SF-1 sequence
P07592711T0000|107 117|beta subunit
P07387242A0236|107 116|hemoglobin
P07496400A0525|107 116|HMGR1L mRNA
P10706688A0376|107 115|NF-kappaB
P08321199T0000|107 114|HMR locus
P03619249A0428|107 114|anti-HBs
P07980440A0138|107 113|insulin
P07565713A0634|107 111|Hsp60
P10438924A1009|107 111|GSK-3
P09736697A0783|107 111|Stat3
P02555703T0000|107 111|c-myc
P01532229A1264|107 111|E-box
P03026915A1024|107 110|lacZ
P10628748A0344|107 110|SF-1
P08702633A0164|107 110|Grb2
P10090146T0000|107 110|AP-2
P10713176A0422|107 110|p130
P09238860A1974|107 110|IL-2
P10103002A0705|107 110|gp42
P10233147A0218|107 110|MAPK
P09058378A1134|107 109|p53
P08067546A0000|107 109|STP
P08576262A0160|107 109|G16
P09712915A0672|107 109|Sp1
P02926499A0340|107 109|CBF
P08915508A0000|107 109|Tat
P07982995A0000|107 109|Na+
P07948129A0297|107 109|CAT
P08120029A0864|107 108|R2
P10411139A1344|107 108|U6
P09731704A1472|107 108|E2
P02342477A1292|107 108|P4
P07535768A1076|108 128|MAP kinase phosphatases
P02142240A0506|108 127|progesteron receptors
P11024036A0984|108 126|wild-type constructs
P01048968A0152|108 121|beta-lactamase
P10675610A0279|108 119|C-MYC protein
P09119391A0870|108 117|human GPT-1
P07937954A0612|108 116|MAP kinase
P10336495A0547|108 115|RXRalpha
P10469140A0336|108 115|TNFalpha
P11094066A0505|108 114|FKHR-L1
P08483479A1056|108 113|alpha 1
P09139737A0000|108 113|SREBPs
P08665853A0228|108 113|ErbB-3
P10925159A1353|108 113|MARTA2
P08798643T0000|108 113|ZAP-70
P11554727A0890|108 112|PTHSR
P10026784A2166|108 112|Pit-1
P09360956A0840|108 112|c-Raf
P09024805A0905b|108 111|CREB
P10518937A0572|108 111|Bas2
P08152800A0357|108 111|PEA3
P10342829A1370|108 111|SF-1
P09873060A0901|108 111|FosB
P10815410A0000|108 111|IL-1
P10085140A1004|108 111|TAK1
P09186056A0514|108 111|MyoD
P10347197A0502|108 111|Sos1
P08808707A0631|108 111|SAPK
P08617802A0993|108 110|Ras
P09626662A1076|108 110|RXR
P02796988A0735|108 110|Sp1
P07493627A0882|108 110|RXR
P11355576A1125|108 110|pRb
P07772036A1000|108 110|NF1
P08595878A0201|108 110|RTK
P10407184A0520|108 110|CAT
P10692374A1873|108 110|PAN
P02033038A0309|108 109|E3
P08589358A0841|108 109|Hb
P02778873A0761|108 109|A2
P09181130A1067|108 109|r3
P07635572A1153|108 109|RB
P02041088A1053|109 144|chloramphenicol acetyltransferase gene
P10488087A0340|109 140|chloramphenicol acetyltransferase
P01331086T0000|109 140|GABP-related transcription factors
P09735371A0227|109 134|LIM-type homeodomain protein
P09705258A0837|109 131|Escherichia coli lacZ gene
P08276851A0347|109 127|ATP-binding proteins
P01400396A1265|109 126|protein kinase C beta
P09504906A0099|109 125|DNA-binding domain
P08702807A0964|109 124|cyclin D1 promoter
P08781119A0723|109 124|rat Met-ase-1 gene
P07538068A1094|109 122|Hoxa-7 enhancer
P09353343A0919|109 122|nuclear hnRNP A1
P08388543A1263|109 122|protein kinase C
P10584704A0913|109 119|cytokeratin
P11181548A0214|109 119|mE-RABP gene
P09049304A1193|109 119|AP-2 protein
P10330146A0730|109 118|luciferase
P01527020A0511|109 117|human gene
P11352663A0138|109 117|NF-kappaB
P09645961A1158|109 116|nTPH gene
P01560021A0379|109 115|rat gene
P07791763T0000|109 115|insulin
P11376119A0346|109 115|GHR gene
P10640683A0204|109 115|NeuroD2
P08151787A0355|109 113|IE110
P09575217A0000|109 113|Stats
P09819391A1123|109 113|ASAP1
P07844142A0640|109 113|SRP54
P08662936A0428|109 113|TEF-1
P08608222T0000|109 113|STAT1
P08986770A0268|109 113|I-POU
P03004982A0199|109 112|fbcC
P08668203A1230|109 112|SF-1
P08848052A0733|109 112|Gle1
P10913276A0684|109 112|SOS1
P08647802A0000|109 112|Grb2
P11113199A0800|109 112|ERK2
P02473907A1338|109 111|IgE
P08707840A0753|109 111|p62
P09736770A0351|109 111|Sp1
P07559402A0622|109 111|PKA
P10811804A0800|109 111|ERK
P01898928A0260|110 131|Escherichia coli fur gene
P11062068T0000|110 128|p38 C-terminal domain
P01904437A0000|110 126|DNA binding protein
P09813110A0982|110 125|C-terminal region
P08602169A0484|110 121|HML alpha loci
P01021091T0000|110 120|Octapressin
P07768848A1880|110 119|cotJ operon
P09209406A1021|110 118|c-cbl gene
P08314163T0000|110 117|rhGM-CSF
P08703908A1814|110 117|StAR gene
P01331501A0397|110 116|cyclin A
P10713176A0885|110 113|cdk6
P08300625A1352|110 113|slyD
P09872832A1262|110 113|IL-8
P11369700A0616|110 113|PU.1
P10359673A0000|110 113|GCN4
P10669736A0903|110 112|PTB
P10602507A0652|110 112|p53
P08208540A1114|110 112|p85
P10446912A0883|110 112|Sp1
P01636714A0845|110 112|MBF
P10681520A0525|110 112|Rho
P08637717A1231|110 112|p21
P07038684A1050|110 112|p62
P08228805A0540|110 112|TCR
P11692004A1200|110 112|NF1
P11844812A0915|110 112|PSA
P09168623A0614|110 111|C1
P01454819A0000|111 139|ADP-ribosylarginine hydrolases
P07513703T0000|111 136|insulin receptor substrate-1
P11123912A0306|111 136|polyomavirus middle T antigen
P09620273A0189|111 133|E2F transcription factors
P10339552A0361|111 133|Drosophila doublesex gene
P08457291A0170|111 131|cellular c-fos oncogene
P10628748A0746|111 130|cAMP-response element
P07744954A0418|111 128|monoclonal antibody
P10085088A0918|111 127|RNA-binding domain
P01588315A0356|111 124|polyhedrin gene
P02833021A1185|111 123|early promoter
P08421295A0365|111 123|LexA repressor
P09326246A0567|111 120|luciferase
P10488148T0000|111 119|NF-kappaB
P09312025T0000|111 119|NF-kappaB
P08044802A0462|111 117|p53 gene
P09083291A1378|111 117|cyclin E
P10454568A0815|111 117|insulin
P11071651A1308|111 117|FR-beta
P10358075A0984|111 117|insulin
P09915860A0000|111 117|Sp1 site
P10359663A1280|111 116|GATA-1
P10544037A0617|111 115|FZD10
P10650939A1542|111 114|luc3
P09079650A0136|111 114|JNKs
P09867253A0229|111 114|AP-1
P10036191A0000|111 114|TFE3
P10725382A0398|111 114|SOS2
P10805737T0000|111 114|eIF5
P09234725A1892|111 114|AP-1
P10409656A1016|111 114|H411
P07708497A0000|111 114|TREs
P09122168A1427|111 114|GRK3
P08662928T0000|111 114|IL-6
P07865876A1292|111 113|E2F
P04377003A0000|111 113|CSF
P10727433A0560|111 113|AP1
P06997203A0325|111 113|PHA
P09712915A0672|111 113|Sp3
P09010223A0667|111 113|SRF
P08083011A0584|111 111|R
P08532536A0925|112 132|epidermal growth factor
P08548291A1059|112 131|serum response element
P07899581A0000|112 130|superoxide dismutase
P08648665A0956|112 123|wild-type LE6
P07673154A0688|112 122|fibronectin
P09556573A1062|112 120|PPARalpha
P09826778A0943|112 120|COUP-TF II
P08825636T0000|112 120|NF-kappa B
P02555519A0798|112 119|H-chains
P09765271A1108|112 118|insulin
P09601940A0280|112 117|NF-IL6
P08642285A1548|112 116|STAT5
P11070078A1153|112 116|HPV E6
P09575217A0971|112 116|Stat5
P08441394A1297|112 116|c-myc
P09599102A1191|112 115|CUP1
P03959045A0000|112 115|MCAT
P07966583A1268|112 114|Env
P10423292A0782|112 114|CRE
P11312120A1311|112 114|Rac
P08858211A0694|112 114|GST
P09501093A0071|112 114|Ras
P10496284A0115|112 114|IgG
P11355576A1125|112 114|pRb
P08955189A1198|112 114|Sp1
P08088513A0419|112 113|U6
P09212059A1856|112 113|PR
P03874921A0862|112 113|EP
P02542612A0530|112 112|Z
P09442080A0856|113 136|glutathione S-transferase
P10454561A0594|113 136|tumor necrosis factor alpha
P08806817A0244|113 128|human TR2 receptor
P02174974A0000|113 127|xylR gene product
P10567533A0818|113 127|tyrosine kinases
P10854699A0424|113 126|FGF-AS sequence
P08561893A0100|113 122|bHLH factor
P10850453A0713|113 121|TGF-beta1
P08754834A1097|113 119|NN-84AG
P07964624A0491|113 119|P131 ORF
P03016301A0605|113 117|c-myc
P09220158A0537|113 117|ORF-2
P08628284A0181|113 117|TRE-1
P10502402A0129|113 117|TRAIL
P09837920A0222|113 117|c-Jun
P08846775A0110|113 116|CLN2
P10815410A0000|113 116|IL-6
P08621542A0535|113 116|IL-1
P10194769A0146|113 116|PREB
P07984088A0592|113 116|PrfA
P08825556A0522|113 116|CREB
P09147420T0000|113 115|IE2
P03023970A0922|113 115|p53
P10713175A1399|113 115|ARF
P10679065A0711|113 115|p38
P09024805A0905b|113 115|AP1
P09311796A0218|113 115|TBP
P09914518A1217|113 114|ER
P07438482A0145|113 114|E2
P09181130A1067|113 114|r5
P10517675A0809|114 150|cyclin-dependent kinase inhibitor family
P10607899A0605|114 140|estrogen receptor binding site
P10380878A0542|114 131|histone deacetylase
P10406464A0687|114 129|vitamin D receptor
P09235998A0788|114 129|HMG-CoA reductase
P01324404A0813|114 129|HNF-3 beta protein
P02176152A0896|114 126|HSV tk promoter
P03024703A1036|114 126|hsp108 protein
P09427627A0930|114 122|MAP kinase
P07862150A0429|114 121|TGF-beta
P09315678A0278|114 120|Nopp140
P08637717A0817|114 120|cyclin E
P08454591A1322|114 120|NF-IL-6
P11112700A1936|114 120|plectin
P09605137A0677|114 118|LFA-3
P01446828A1088|114 118|NF-E1
P09642200A0956|114 117|ahaK
P08649372A0755|114 117|Mbp1
P08637717A1231|114 117|PCNA
P08395014A1364|114 117|PPZ2
P08497280A0266|114 117|SWI4
P10548434A1549|114 116|ERK
P09856397A0099|114 116|FB1
P09849965A0000|114 116|hPR
P09736770A0351|114 116|Sp3
P01995951A0000|114 116|Sp1
P11281268A0000|114 116|AKs
P10414451A0093|114 116|APC
P10878398A0542|114 116|Epo
P10825200T0000|114 116|Lck
P08816759A0000|114 115|TR
P08879237A0744|114 114|R
P08062833A0000|115 148|helix-loop-helix myogenic regulators
P08728040T0000|115 141|basic fibroblast growth factor
P08808707A0631|115 133|Jun N-terminal kinase
P10780883T0000|115 130|interferon-alpha
P10782989A0575|115 130|DNA binding domain
P09892662A0334|115 129|adenylyl cyclase
P10613863T0000|115 126|pfoA promoter
P08276865A1188|115 123|MAP kinase
P07559356T0000|115 122|fnrN gene
P00715753A0241|115 119|CK-MB
P07583562A1826|115 119|LDL-C
P09872832A1262|115 119|IL-12
P08977235A0588|115 119|STAT3
P07799948A0777|115 119|Raf-1
P02154599T0000|115 118|AP-1
P09535082A0537|115 118|PrfA
P08654435A0540|115 118|Erk2
P07730273A1309|115 118|NarL
P08676456A0879|115 118|VP16
P09032250A0257|115 118|NF-Y
P02595451A1136|115 118|MIC1
P11238375A0617|115 117|p38
P10722737A1726|115 117|Sp1
P11226752A0750|115 117|E47
P09627285A0554|115 117|hMG
P10224257A0079|115 116|P2
P01502157A0000|115 116|P2
P09328824A0000|115 116|TR
P08104189A1168|116 150|Golgi-associated vacuolar-type ATPase
P01840513A1019|116 147|chloramphenicol acetyltransferase
P11004369A0000|116 146|vascular endothelial growth factor
P06185493A0468|116 141|bovine muscle pyruvate kinase
P10423292A0782|116 137|cAMP-responsive element
P11224226A0000|116 137|benzodiazepine receptor
P08228805A0540|116 136|protein tyrosine kinase
P11522626A1374|116 132|estrogen receptors
P08524267A1022|116 131|myc-derived genes
P10490955T0000|116 131|thrombospondin-1
P08280476A0602|116 130|ETS-binding site
P08622668A1155|116 129|C1 hnRNP protein
P03417668A1233|116 127|CaM-kinase II
P01674817T0000|116 127|RNA15 protein
P00055040A0000|116 125|fibrinogen
P00993176A0066|116 125|hemoglobin
P10891399A1185|116 123|AP-1 site
P09271397A1596|116 122|Sp1 site
P10805286A0914|116 122|PCI mRNA
P08769132A0000|116 121|hMSH-2
P10681520A0525|116 120|Cdc42
P09488486A0906|116 120|Pol II
P10903733A0540|116 120|TRAF2
P08647086T0000|116 119|Cdk7
P10679065A0711|116 119|MAPK
P08497269A0999|116 119|GCN2
P10594239A0614|116 119|Tih1
P07933066T0000|116 119|DP-1
P08345191A1140|116 119|MCL1
