P01901859A0000|0 59|UDP-Gal:Gal beta 1----4GlcNAc alpha 1----3-galactosyltransferase
P09753774A2246|62 66|1-fft
P01845899A0000|62 66|Rep68
P09895323T0000|62 66|Hoxa3
P10572087A0326|62 66|FANCC
P11359568T0000|62 66|parAB
P11134508A0317|62 66|AtHD1
P10358079A0391|62 66|ErbB4
P09649426A0636|62 66|Msn4p
P09824158A1336|62 66|N-CoR
P11393791A1153|62 66|Atp6i
P08524272T0000|62 65|Stat
P08552096A0151|62 65|UBS1
P08444345A0403|62 65|EFIA
P09407031A0974|62 65|cut5
P09625762A0426|62 65|p300
P08253387A0801|62 65|GAL4
P10069815A0285|62 65|Doa4
P01874752A0948|62 65|cdc2
P09537378A1227|62 65|lacZ
P03036933A0774|62 65|ACTH
P11139469A0402|62 65|Ang1
P03199436A1060|62 65|psbB
P10653693A0429|62 65|KRAB
P09121433A0463|62 65|Rlm1
P09722161A3065|62 65|Igf2
P10517675A0809|62 65|CIP1
P10831972A1091|62 65|CD23
P08626596A0000|62 65|AMPK
P09426143A1358|62 65|KdgR
P10393251T0000|62 65|HUG1
P11589568A0744|62 65|Mad1
P02784507A0000|62 65|CD4+
P10890911A0470|62 65|LEF1
P01545818A0696|62 64|SH2
P10928477A0764|62 64|vWF
P09203586A1197|62 64|SL1
P08091669A0828|62 64|IE1
P09431828A1472|62 64|h-1
P09733794A1323|62 64|Bax
P02139891A0532|62 64|EIA
P09443978A0262|62 64|Sp1
P10194451A0000|62 64|bcr
P10496284A0115|62 64|IgG
P10938102A1359|62 64|NS1
P07926774A0652|62 64|SCB
P08428750T0000|62 64|CLP
P11018028A0263|62 64|PKA
P10049742T0000|62 64|ZF5
P09282911A0277|62 64|RC3
P09358069T0000|62 64|EPO
P03517388A0763|62 63|CC
P02081463A0110|63 96|Spec1 transcriptional initiation site
P09767593A0130|63 93|tyrosine-phosphorylated proteins
P02844767A0596|63 92|51-kDa photosystem II polypeptide
P08208247T0030|63 91|glutamic acid decarboxylase gene
P01313846A0850|63 91|immunoglobulin gene superfamily
P00227393T0000|63 90|cytochrome P-450 monooxygenase
P09013499A0198|63 90|N-methyl-D-aspartate receptor
P01901859A0000|63 89|terminal glycosyltransferase
P09315633A0333|63 89|interferon regulatory factors
P09383156A0691|63 89|polynucleotide phosphorylase
P09846482A0441|63 89|p21-activated protein kinase 1
P10511554T0000|63 88|Caenorhabditis elegans cdf-1
P08331067T0000|63 86|endo-N-acylneuraminidase
P07799950A0282|63 86|somatostatin gene promoter
P08900190A0430|63 84|MAP kinase phosphatase-1
P11139473A0696|63 84|cAMP-responsive element
P02473907A1338|63 83|Fc epsilon R binding site
P11251083T0000|63 83|epidermal growth factor
P08473731A0149|63 83|BCR-associated complex
P10727515A1202|63 82|delta-opioid receptor
P08361755A0734|63 81|serum response factor
P10665798A0598|63 81|alkaline phosphatase
P07540607A0709|63 81|human immunoglobulin
P09267439A0000|63 81|GDP-binding proteins
P10931524A0313|63 81|Gtx-binding sequence
P09914156A1496|63 80|tenascin-C promoter
P01228882A0437|63 80|CSF immunoglobulins
P09006910A0000|63 79|retinoid X receptor
P09358045A0000|63 79|TGF-beta) receptor
P09315632A1137|63 79|FGFR3 kinase domain
P10101198A0632|63 78|N-terminal region
P02300577A0852|63 77|endoglycosidase
P07902532A0312|63 77|thymidine kinase
P09241232A1154|63 77|endonuclease III
P07519606A1269|63 77|5-10-kDa proSP-C
P09858531A1017|63 77|proto-oncogenes
P08415637A0000|63 76|RAS superfamily
P09577365A0747|63 76|collagen type IV
P09691031A1050|63 76|myosin proteins
P02657388A1011|63 76|RNA polymerase I
P11287579A1084|63 76|viral late-gene
P01833637A0531|63 75|cdc68-1 mutant
P11145590A0217|63 75|thyroglobulin
P01846803A0688|63 75|p34cdc2 kinase
P09334264A0540|63 75|64-kDa subunit
P10657658A0165|63 74|I kappa B alpha
P07629196A0274|63 74|alpha 12Q229L
P09388246A0903|63 74|amphiphysin I
P09759865A0673|63 73|Rel proteins
P05839844T0000|63 73|Aflatoxin B1
P02844767A0191|63 72|Rieske-FeS
P09649438A0182|63 72|CDK9 kinase
P10607566A0880|63 72|RA receptor
P08812490A0000|63 72|aquaporins
P08394019A0695|63 72|SH3 domains
P10318806A0476|63 72|MAP kinases
P08356944A0589|63 72|hemoglobin
P08443341A0384|63 71|B. napus MA
P11303027A0954|63 71|ARF family
P09584165T0000|63 71|G proteins
P10586115A0477|63 71|IL-1alpha
P08728040T0000|63 71|Jun kinase
P11278310A1516|63 71|caspase-3
P09556566A0174|63 70|RXRalpha
P10477583A0000b|63 70|Fc gamma R
P10850849A0730|63 70|t1/2beta
P10477583A0000a|63 70|Fc gamma R
P09833740A1112|63 70|viral LTR
P10329135A1326|63 70|mt-hsp70
P03038891A0935|63 69|p11 mRNA
P11238402A0191|63 69|TIR gene
P07541912A0485|63 69|high G-C
P10359663A0425|63 69|oIFNtau
P07500386A0870|63 68|GapIII
P01968043A0908|63 68|pASB-1
P01357528A0084|63 68|SEF-17
P09418882A0760|63 68|Prp42p
P07799931A0287|63 68|L7 gene
P10611225A1127|63 68|eIF4GI
P08761480A0331|63 68|RPDE-6
P11145562A0000|63 68|IGF-IR
P01709486A0000|63 67|c-kit
P08645219A1377|63 67|MRP14
P10525413A1408|63 67|R122A
P11533238A1137|63 67|HDAC1
P09705324A1602|63 67|C/EBP
P09858593A0334|63 67|BETA2
P10848993A0000|63 67|mutAB
P09596738T0000|63 67|Cek1p
P08740416A0919|63 67|Seb1p
P10918572A1547|63 67|ErbB2
P10788476A0891|63 67|Sec13
P09447973A0168|63 67|mSos1
P10201468A0297|63 67|GLP-1
P08657183A0145|63 66|DHFR
P08918885A1087|63 66|dig1
P09601516A0695|63 66|PEP1
P10744749T0000|63 66|MyoD
P02940334A0141|63 66|HBIG
P09917389A1239|63 66|FinO
P10891441A0871|63 66|Sos1
P09579602A1720|63 66|CD34
P09826778A0943|63 66|myoD
P10898795A0527|63 66|BCoR
P09535833A0228|63 66|Staf
P10938113A0388|63 66|Vav3
P10026211A0543|63 66|CREB
P09819440A0783|63 66|RPB5
P01224116A0576|63 65|IgG
P07752223A0960|63 65|Myc
P09658104T0000|63 65|YY1
P10648619A0000|63 65|TBP
P11278400A0668|63 65|POU
P08291761A0416|63 65|IgG
P09077108A0458|63 65|IgG
P10077533A0976|63 65|MKS
P08267667A0748|63 65|CYP
P07926775A0895|63 65|slp
P11560992A1184|63 65|JNK
P08756712A0227|63 65|RPA
P09524276A0939|63 65|NAC
P08976253A0637|63 65|PSA
P10825294A0473|63 65|MDR
P09474648A0298|63 65|Paf
P07705627A1107|63 65|dpp
P07413242A0000|63 64|L3
P09585253A1147|63 64|TF
P11478627A0573|63 64|Y1
P11024182A0781|63 64|IR
P08314163T0000|64 108|granulocyte-macrophage colony stimulating factor
P08223613A0105|64 104|trehalose-6-phosphate synthase/phosphatase
P07867622X0000|64 102|neuron-specific GTPase-activating protein
P10593950A1113|64 98|U5 small nuclear RNP-associated protein
P02995967T0000|64 97|epidermal growth factor-receptor gene
P08051074A0000|64 95|human immunodeficiency virus, type 1
P09303635A0000|64 92|beta-glucocerebrosidase enzyme
P10092856A0798|64 92|yeast triose phosphate isomerase
P09562558T0000|64 91|winged helix-turn-helix family
P11161455A1286|64 91|endothelial-TACC-related cDNA
P02703121T0000|64 91|serum alanine aminotransferase
P02446871A1021|64 90|fungal mitochondrial LSU rRNAs
P09354644A0124|64 89|beta1,6-GlcNAc transferases
P08601283A0875|64 86|bacterial selenoproteins
P07080496A0097|64 86|high-density lipoprotein
P10512699T0000|64 86|rat thioredoxin reductase
P08276865A1188|64 84|epidermal growth factor
P08599945T0000|64 84|yeast RNA polymerase III
P07840643A1006|64 83|glycosylasparaginase
P08414502A0244|64 82|wild-type p53 protein
P11024047A0626|64 81|luciferase reporter
P11179956A1818|64 79|C-terminal domain
P08768377A1387|64 79|phytochrome C gene
P09488486A0906|64 79|yeast U6 snRNA gene
P09467707T0000|64 79|apolipoproteins B
P08220494A0231|64 79|30 bp cyt-1 element
P07994021A1223|64 78|PECAM-1 isoforms
P10788320A1034|64 78|protein-protein
P01480183A1689|64 78|lactoferrin gene
P09892017A2151|64 78|nuclear receptor
P03540591A0330|64 76|P0 transcripts
P01673220A0578|64 76|Sn: bol3 allele
P07958911A0500|64 75|fork head gene
P09538220A0000|64 75|tRNAPro genes
P10561546A0000|64 75|anti-peptide
P01701088A1335|64 74|AP-2 element
P08524235A0695|64 74|basic region
P01658356T0000|64 74|env elements
P09582953A0000|64 74|C1-esterase
P02674674A1308|64 74|OBF1 protein
P10763827A1158|64 74|ras oncogene
P10958688A0265|64 74|Sls1p mutant
P08969495A0256|64 74|nrdE cistron
P08023662T0000|64 74|prothrombin
P10406464A0687|64 74|TRAP complex
P08144852A0000|64 74|vasopressin
P09147420T0000|64 73|Tat protein
P11007949A1607|64 73|PTEN mutant
P11313398A0687|64 73|PI 3-kinase
P10579722T0000|64 73|Rho-kinase
P11043469A0440|64 72|T-regions
P07775428A0172|64 72|Ash-l cDNA
P09454735A1782|64 72|MAP kinase
P10476970A0542|64 72|rap1GAPII
P07876134A0348|64 71|AFAP-110
P07565797A0116|64 71|CRY2 mRNA
P08294429A0153|64 70|hGh cDNA
P09024805A0905b|64 70|Sp1 site
P10446912A0883|64 70|CYP11A1
P08188606A1034|64 69|Tn5422
P09190202A0166|64 69|Sec23p
P10364319A0109|64 69|EBNA3C
P08208540A1114|64 69|kappa B
P07600111A0000|64 68|HIV-1
P08981371A2049b|64 68|CSF-1
P09528987A1348|64 68|T/EBP
P08981371A2049a|64 68|CSF-1
P08874631A1133|64 68|HIV-1
P10727511A0294|64 68|GLT-1
P10974541A0389|64 68|MZF1C
P08769566A0000|64 68|Zfhep
P10637230A0332|64 68|Stat1
P09135149A0000|64 68|Cdc13
P07759529A0288|64 67|gp91
P11319098A0164|64 67|SecE
P08546707T0000|64 67|RelA
P10597317A1156|64 67|LMP1
P08524241A0212|64 67|IME2
P09642214A0244|64 67|ErbB
P09346925A0660|64 67|HPK1
P02200736A1003|64 67|AP-4
P08748033A0874|64 67|LacZ
P10823961A0664|64 67|TRAP
P10640683A0670|64 67|NDRF
P11471077A0382|64 67|TRA1
P09884232A0286|64 67|attL
P02308496A0000|64 66|TSH
P09765261A0000|64 66|Tax
P09448268A0186|64 66|nmo
P09199328T0000|64 66|HCF
P03499657A0000|64 66|sAP
P09517989A0476|64 66|CD4
P08617802A0993|64 66|GAP
P09824001A1665|64 66|vWF
P09837907A0857|64 66|TNF
P08843412A0543|64 66|RAR
P08626493A1468|64 66|E1A
P06698047A0445|64 66|TRH
P09512550T0000|64 66|pRb
P11413148A0573|64 66|BTK
P07490766T0000|64 66|Max
P08647434A1124|64 66|TBP
P10889399A0243|64 66|MEK
P10764760T0000|64 66|JNK
P09000049A1341|64 66|Max
P11250942A0626|64 66|VDR
P08288554A0295|64 66|p32
P07789809A1246|64 65|Vc
P09694897T0000|64 65|U2
P11278286A1083|64 65|GR
P08625806A0263|64 65|r3
P11416132A1351|64 64|d
P08647822T0000|65 108|3-hydroxy-3-methylglutaryl coenzyme A reductase
P11197328T0000|65 105|maize C4 phosphoenolpyruvate carboxylase gene
P10935488A1033|65 101|adipocyte-type fatty acid binding protein
P08051151A0347|65 100|reverse transcription-polymerase chain
P11071852A0297|65 100|reverse transcription-polymerase chain
P09882451A0195|65 92|endogenous ferrochelatase gene
P10542260A0832|65 91|protease-activated receptors
P09861365A0000|65 90|Wuchereria bancrofti antigen
P09843572A0944|65 90|N-terminal regulatory domain
P10564474T0000|65 89|outer-membrane protein OprH
P09523551A0367|65 89|G protein-coupled receptors
P10762254A0954|65 88|MMA methyltransferase gene
P09278441A1777|65 87|atrial natriuretic factor
P11408575A0000|65 86|cyclin-dependent kinase
P11553704A0674|65 86|dominant negative Ras N17
P06795832A0148|65 85|HBs- and HBe-antibodies
P08524036A0747|65 85|stripe 2 enhancer region
P08325639A0129|65 85|26S proteolytic complex
P11368363A0129|65 84|human myeloperoxidase
P09724772A0840|65 84|zia operator-promoter
P08816759A0000|65 84|retinoic acid receptor
P08649428A1227|65 84|c-mos oncogene product
P09211913A0000|65 84|transcription factors
P10959838A0153|65 84|nitrilase superfamily
P07887226A0858|65 83|transferrin receptor
P09346238T0000|65 83|SCF ubiquitin-ligase
P10633075A1111|65 83|N-acetylglucosamine
P09425036A0649|65 82|lymphoid cell kinase
P10037681A0494|65 82|C-terminal fragment
P09045805A0945|65 81|E. coli acoK mutants
P11212249A0993|65 81|activator protein 1
P07961755A0474|65 81|cysteine synthase C
P11222387A1497|65 81|ABL tyrosine kinase
P07693975T0000|65 81|Pol fusion proteins
P08264628A0418|65 80|TATA-binding site
P02532210A0000|65 79|viral early genes
P11274184A0000|65 79|heme oxygenase-1
P09704296T0000|65 79|immunoglobulin E
P11524015A0937|65 79|CAT reporter gene
P04746559T0053|65 78|renal vein renin
P09091403T0001|65 78|human mts1 genes
P10669751T0000|65 78|cot oncoprotein
P09341192T0000|65 78|tyrosine kinase
P07831310A0000|65 78|TEV) polymerase
P11353770A0085|65 77|N-glycosylase
P10471696A0734|65 77|HMR-E silencer
P08665853A0228|65 76|ErbB proteins
P01386897A0000|65 75|CDC28 kinase
P09349501A0196|65 75|MLL products
P10092847A0455|65 75|hMT-IIA gene
P11046146A1202|65 75|NFI proteins
P09383188A0654|65 75|O(rocD) site
P08672242A0517|65 74|P1 promoter
P09418905A1396|65 74|PLC-gamma1
P08663326A0000|65 73|dmp operon
P09341182A0605|65 73|POZ domain
P11050084A0000|65 73|PPARalpha
P07543684A1027|65 72|CFTR gene
P07864652A0753|65 72|120-233)
P10085605A0239|65 72|alpha hCG
P09524122A0336|65 72|RAS genes
P08149484A0151|65 72|PKC delta
P09009208A0337|65 71|Tf1 mRNA
P07483285A0322|65 71|MMTV LTR
P10611320A0816|65 71|CAK gene
P07616563A0532|65 70|DNase I
P10051488A1610|65 70|HMAP-1
P08506384A0146|65 70|eIF-2B
P07651141A0265|65 70|p-gvpF
P02153683A1579|65 70|fodrin
P11316127A0485|65 70|HCM-II
P07816049A1157|65 70|Atcys1
P09297698A0933|65 70|UbCRBP
P00420460A0291|65 69|renin
P07983744A0920|65 69|IE175
P09710599T0000|65 69|ets-2
P09261184A0170|65 69|FIRE1
P10543730A0000|65 69|Ume5p
P10918572A0794|65 69|ErbB4
P11150315A1126|65 69|Fra-2
P08497248A0000|65 69|CSF-1
P08871567A0000|65 69|c-myc
P01824713A0964|65 69|c-jun
P11350957A0457|65 69|PACAP
P01516829A0460|65 68|SNF2
P09436989A1011|65 68|MOB1
P09065690A0463|65 68|CAR1
P09254709T0000|65 68|amyO
P09032250A0257|65 68|Tax1
P09611234A0098|65 68|PLZF
P08412620A0688|65 68|virB
P00201881A0487|65 68|ACTH
P01400217T0000|65 68|traG
P08395004A0558|65 68|SPT2
P09010223A0667|65 68|PEA3
P09882489A0451|65 68|mef2
P08550470A1021|65 68|CheA
P02498652A0460|65 67|TRH
P09305592A0000|65 67|bcr
P10777217A0536|65 67|p53
P10359575A0317|65 67|IgA
P11559789A0314|65 67|ASF
P11195401A1030|65 67|AVP
P09763607A0521|65 67|JNK
P09065463A1012|65 67|RPA
P11296288A1107|65 67|gag
P08182041A1067|65 67|PKA
P01337142A2043|65 67|FSK
P02545903A0639|65 67|NS3
P11211936A1490|65 67|JNK
P10319320A1022|65 67|Ras
P09636670T0000|65 67|p18
P08284227A0336|65 67|Id1
P09840928A0884|65 66|H4
P06434572A0157|65 66|GH
P09159183A0119|66 116|basic-region leucine zipper (bZIP) transcription factors
P08598051T0000|66 104|RNP consensus-sequence RNA-binding domains
P10195690A0000|66 98|nuclear hormone receptor superfamily
P09658405A0000|66 97|orphan nuclear receptor superfamily
P09422351A0000|66 94|serine/threonine protein kinase
P08529654A0589|66 92|cytosolic cyclophilin isoform
P09712898T0000|66 86|Jun NH2-terminal kinase
P07823953A0777|66 85|I kappa B alpha molecule
P07754713A0227|66 84|ribosomal protein S24
P09234717A0000|66 84|c-cbl proto-oncogene
P07791783A0000|66 84|a leucine zipper motif
P07708058A0178|66 83|activator protein-1
P08355696A0236|66 83|AP-1-like sequences
P08794869A0274|66 83|alpha 2 integrin gene
P11368787A0180|66 83|human annexin A5 gene
P08522511A1578|66 83|beta-glucuronidase
P10920186A0528|66 83|chimeric transcript
P08308008A0201|66 82|ets sequence motifs
P09165039A0728|66 82|mammalian LHR cDNAs
P08261398A0392|66 80|topo II alpha mRNA
P07698219A0551|66 80|laminin receptor
P09171235A0851|66 80|COUP-TFI delta35
P02223773A0000|66 79|actin filaments
P08993836A0699|66 79|HNF-3 alpha gene
P01413984A0737|66 79|HDL cholesterol
P08845378A0368|66 79|human MZF-1 gene
P02461368A0162|66 78|type X collagen
P10706688A0376|66 77|fasl promoter
P09467955A0468|66 77|PEA3 promoter
P09049270A0488|66 77|MT-like genes
P07636962A1288|66 77|HSV-alpha TIF
P10393201A0654|66 77|DNA ligase III
P07799948A0777|66 76|Raf-1 kinase
P09694869A0932|66 76|p21 promoter
P02829183A0117|66 76|translocase
P09282911A0277|66 76|neurogranin
P08297376A0236|66 76|C/EBP) alpha
P10207041A0065|66 76|cyclin genes
P02993630A1190|66 75|nuclease S1
P10805286A0914|66 75|rat PCI cDNA
P11031252A0646|66 75|HMW isoform
P11137296A1216|66 75|PFK-C genes
P06369355A0834|66 75|trfA region
P09325273A1240|66 74|ubiquitin
P07926749A0471|66 74|ROR alpha 1
P09516472A0292|66 74|TATA motif
P11391531A1157|66 74|TNF-alpha
P06953957A0503|66 74|myoglobin
P08602169A0484|66 74|wild type)
P08429019A2022|66 73|protein B
P09271417A1011|66 73|ERR alpha
P10223338A2186|66 73|HIV-2 gag
P09811718A0979a|66 73|HIV-1 nef
P09582306T0000|66 73|G protein
P08668158A0765|66 73|tRNA met f
P09168134A0858|66 73|Sm-E gene
P07729427A0942|66 73|hTAFII28
P02115115A1053|66 72|CAR1 URS
P08932385T0000|66 71|LCR-F1
P09701609A0116|66 71|PhLOP1
P10490604A0601|66 71|ZAP-70
P10501969A1329|66 71|GATA-4
P11357063A1053|66 71|CGbeta
P08387155A1248|66 71|topo II
P09003311A0478|66 70|porCa
P10660304A0522|66 70|STAT3
P09006914A0812|66 70|ATF-2
P08106398A1003|66 70|nisin
P07972237A0665|66 70|N-myc
P09651383A0967|66 70|HNF-4
P10946303A0000|66 70|COX-2
P01452037A0000|66 70|GAPDH
P01314953A1266|66 69|HAP3
P11128925A0000|66 69|IL-6
P11395469A1373|66 69|sid1
P11886473A0796|66 69|CagA
P09199292A0536|66 69|cdk2
P10209119A0594|66 69|pop1
P07629122A0323|66 69|NIMA
P11158326A1032|66 69|R47G
P07665477A0901|66 69|esaI
P07941750A0344|66 69|HyuA
P11053370A0708|66 69|UhpB
P11323411A0505|66 69|Gab1
P08710371A0000|66 69|BKV)
P10748113A0187|66 69|RIM1
P11502758A0869|66 69|FGFR
P08763953A0805|66 69|traG
P08172598A0237|66 69|xynB
P11559821A1315|66 69|CREB
P09030781A0734|66 69|cdk2
P08798635A0870|66 69|ARF3
P00725534A0888|66 68|IgA
P08869825A0000|66 68|FMO
P08709224T0000|66 68|SNF
P10961046A0342|66 68|vWF
P11522658A0870|66 68|p27
P08001966A0563|66 68|CNC
P10329625A0715|66 68|TCR
P08387994A0980|66 68|int
P02131652A0883|66 68|l-1
P07919540A0240|66 68|p64
P07937954A0612|66 68|Raf
P10194451A0000|66 68|abl
P10982825A0363|66 68|OpA
P09515031A1020|66 68|PKC
P02243093A0000|66 68|Tax
P07874060A0810|66 67|XO
P08816792A0000|66 67|Ku
P09079902A0713|66 67|Pk
P11478627A0573|66 67|Y2
P02894789A0954|66 67|T4
P08139004A0278|66 66|U
P07735833A1078|67 99|seryl- and aspartyl-tRNA synthetases
P02115121A0000|67 98|alpha-ketoglutarate dehydrogenase
P11027289A0000|67 97|150-kDa nuclear RNA binding protein
P11278400A0668|67 96|OCT binding) homeodomain proteins
P07585246T0000|67 95|Caenorhabditis elegans pre-mRNA
P08640866A0473|67 94|anti-CD3 monoclonal antibodies
P09224811A0000|67 94|cytochrome P450 oxidoreductase
P07635140A0172|67 90|tissue-specific promoters
P09525891T0000|67 89|cAMP-responsive sequence
P10702253A0357|67 88|human HIF-1alpha subunit
P08702756A0000|67 87|actin-myosin filaments
P03275867A0187|67 86|silent mating type loci
P01340470A0000|67 85|RNA recognition motif
P10428811A1067|67 85|focal adhesion kinase
P11278594A0618|67 85|TGF-beta1 propeptide
P11387208T0000|67 84|SCF ubiquitin ligase
P08400240A0166|67 83|A gamma-globin gene
P02138707A0198|67 83|murine protein mXBP
P08940298A0962|67 83|vitamin D3 receptor
P10601290A0742|67 82|wild-type peptide
P01675424A0991|67 82|NADH-NR sequences
P02733690T0000|67 82|nitrate reductase
P08029001A1020|67 81|RNA polymerase II
P09418861A0623|67 80|protein kinase C
P09101085A0686|67 80|p27Kip1 protein
P08435885A0787|67 80|thyroid hormone
P09422727A0196|67 80|protein kinase A
P08887652A0341|67 80|con-10 promoter
P09362499A0000|67 79|DNA invertases
P01864821A0000|67 77|globin chain
P02175908A0805|67 77|mutant locus
P07753796A0743|67 77|eIF-2B alpha
P07499252A0150|67 76|PI 3-kinase
P07913926A0878|67 76|ntcA mutant
P10764150A0000|67 76|Raf kinases
P01702972A0613|67 76|G0S19 genes
P10760132A1169|67 76|Ypt protein
P09806857A0854|67 76|invertases
P07665187A0208|67 76|Nramp1 mRNA
P09849961A0387|67 76|PI 3-kinase
P10913276A0684|67 76|PLC-gamma1
P09614106T0000|67 76|Col2a1 gene
P07535768A1076|67 75|mouse MKP1
P11376119A0346|67 75|GHR 1A mRNA
P10855796A1160|67 75|EphA8 gene
P02024488A0506|67 74|HIV-1 LTR
P09205113A0587|67 74|HPRT gene
P07926774A0652|67 74|E2F sites
P09731704A1472|67 74|ERalpha+
P10369926A0251|67 74|human IL8
P02758382A0478|67 73|albumin
P11007777A0813|67 73|junctin
P06755468A0180|67 73|cob gene
P00984209A0614|67 73|gastrin
P10344736A0796|67 73|p21Cip1
P08721999A0727|67 73|28S rRNA
P10938109A1361|67 73|insulin
P02989786A0328|67 72|CATase
P10918599A0071|67 72|E2F-3B
P10453006A0478|67 72|PSMB11
P07509449A0000|67 72|p47gag
P11704829A0312|67 72|gene-7
P07528325A0165|67 71|Stat1
P09121454A1328|67 71|Mot1p
P09348226A0852|67 71|c-cbl
P08756712A0227|67 71|RPA 70
P10850719A0680|67 71|Vbeta
P10454533A0859|67 71|Hsc70
P08001136T0000|67 71|TFIIK
P09773981A0415b|67 71|Stat5
P10653693A0429|67 71|KAP-1
P10826946A1198|67 71|gp120
P09336455A0000|67 71|GAL10
P09694725A0500|67 71|LILRE
P08682317A0900|67 71|HSF-1
P01243628A0286|67 70|COHb
P07852400A0519|67 70|Rac1
P03199436A1060|67 70|psbH
P09920930A0959|67 70|AP-1
P09077108A0458|67 70|IL-6
P08401614A0187|67 70|PAL2
P07608649A1429|67 70|ET-1
P11572467A0658|67 70|t-PA
P07935383A0108|67 70|CstF
P01373374A0735|67 70|GBF1
P09367392A0567|67 70|RNA3
P08280476A0602|67 70|Z2Z6
P08595878A0201|67 70|Ras1
P08918885A1087|67 70|dig2
P09662339A0744|67 70|AP-1
P07592337A0891|67 70|nfxB
P07528772A0616|67 69|TCR
P10913304A0894|67 69|PE1
P10825294A0473|67 69|LTR
P10704338A0354|67 69|p24
P09722161A3065|67 69|Mpr
P01874752A0948|67 69|p62
P11007954A0170|67 69|Sos
P08770021T0000|67 69|Ras
P09621372A0369|67 69|CRP
P01709933T0000|67 69|pS1
P11238586A0000|67 69|MHC
P11504709A0981|67 69|TPO
P10329736A1106|67 69|Shc
P09067577A0307|67 69|CRK
P10790390X0000|67 69|mod
P10087993A1352|67 69|BP2
P08668210A0000|67 69|MEK
P11439343A0785|67 69|AF9
P08617800A0675|67 69|PBP
P08144615A0533|67 69|TCD
P02809722A0926|67 68|GH
P01316461A1083|67 68|S2
P10662614A0972|67 68|P1
P07951410A0647|67 68|RB
P08474439A0877|67 67|A
P09192998A0356|67 67|T
P09658104T0000|68 109|Rous sarcoma virus long terminal repeat promoter
P09139737A0000|68 106|sterol regulatory element-binding proteins
